,dates,count,standardized
0,2020-03-15,1,-1.7137217117324381
1,2020-03-16,1,-1.6768674813726008
2,2020-03-17,1,-1.6400132510127634
3,2020-03-18,1,-1.603159020652926
4,2020-03-19,1,-1.5663047902930887
5,2020-03-20,1,-1.5294505599332513
6,2020-03-21,1,-1.492596329573414
7,2020-03-22,1,-1.4557420992135766
8,2020-03-23,1,-1.418887868853739
9,2020-03-24,1,-1.3820336384939016
10,2020-03-25,1,-1.3451794081340642
11,2020-03-26,1,-1.3083251777742269
12,2020-03-27,1,-1.2714709474143895
13,2020-03-28,1,-1.2346167170545521
14,2020-03-29,1,-1.1977624866947147
15,2020-03-30,1,-1.1609082563348774
16,2020-03-31,1,-1.12405402597504
17,2020-04-01,1,-1.0871997956152026
18,2020-04-02,1,-1.0503455652553653
19,2020-04-03,1,-1.013491334895528
20,2020-04-04,1,-0.9766371045356905
21,2020-04-05,1,-0.9397828741758532
22,2020-04-06,1,-0.9029286438160158
23,2020-04-07,1,-0.8660744134561784
24,2020-04-08,1,-0.829220183096341
25,2020-04-09,1,-0.7923659527365037
26,2020-04-10,1,-0.7555117223766663
27,2020-04-11,1,-0.7186574920168289
28,2020-04-12,1,-0.6818032616569915
29,2020-04-13,1,-0.6449490312971541
30,2020-04-14,1,-0.6080948009373167
31,2020-04-15,1,-0.5712405705774793
32,2020-04-16,1,-0.534386340217642
33,2020-04-17,1,-0.4975321098578046
34,2020-04-18,1,-0.46067787949796724
35,2020-04-19,1,-0.42382364913812987
36,2020-04-20,1,-0.3869694187782925
37,2020-04-21,1,-0.35011518841845507
38,2020-04-22,1,-0.3132609580586177
39,2020-04-23,1,-0.27640672769878033
40,2020-04-24,1,-0.23955249733894296
41,2020-04-25,1,-0.2026982669791056
42,2020-04-26,1,-0.1658440366192682
43,2020-04-27,1,-0.12898980625943082
44,2020-04-28,1,-0.09213557589959345
45,2020-04-29,1,-0.05528134553975607
46,2020-04-30,1,-0.01842711517991869
47,2020-05-01,1,0.01842711517991869
48,2020-05-02,1,0.05528134553975607
49,2020-05-03,1,0.09213557589959345
50,2020-05-04,1,0.12898980625943082
51,2020-05-05,1,0.1658440366192682
52,2020-05-06,1,0.2026982669791056
53,2020-05-07,1,0.23955249733894296
54,2020-05-08,1,0.27640672769878033
55,2020-05-09,1,0.3132609580586177
56,2020-05-10,1,0.35011518841845507
57,2020-05-11,1,0.3869694187782925
58,2020-05-12,1,0.42382364913812987
59,2020-05-13,1,0.46067787949796724
60,2020-05-14,1,0.4975321098578046
61,2020-05-15,1,0.534386340217642
62,2020-05-16,1,0.5712405705774793
63,2020-05-17,1,0.6080948009373167
64,2020-05-18,1,0.6449490312971541
65,2020-05-19,1,0.6818032616569915
66,2020-05-20,1,0.7186574920168289
67,2020-05-21,1,0.7555117223766663
68,2020-05-22,1,0.7923659527365037
69,2020-05-23,1,0.829220183096341
70,2020-05-24,1,0.8660744134561784
71,2020-05-25,1,0.9029286438160158
72,2020-05-26,1,0.9397828741758532
73,2020-05-27,1,0.9766371045356905
74,2020-05-28,1,1.013491334895528
75,2020-05-29,1,1.0503455652553653
76,2020-05-30,1,1.0871997956152026
77,2020-05-31,1,1.12405402597504
78,2020-06-01,1,1.1609082563348774
79,2020-06-02,1,1.1977624866947147
80,2020-06-03,1,1.2346167170545521
81,2020-06-04,1,1.2714709474143895
82,2020-06-05,1,1.3083251777742269
83,2020-06-06,1,1.3451794081340642
84,2020-06-07,1,1.3820336384939016
85,2020-06-08,1,1.418887868853739
86,2020-06-09,1,1.4557420992135766
87,2020-06-10,1,1.492596329573414
88,2020-06-11,1,1.5294505599332513
89,2020-06-12,1,1.5663047902930887
90,2020-06-13,1,1.603159020652926
91,2020-06-14,1,1.6400132510127634
92,2020-06-15,1,1.6768674813726008
93,2020-06-16,1,1.7137217117324381
